attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,Unnamed: 0
1.23443,-1.036062,0.530732,0.481051,0.8604040000000001,-0.168201,-1.776675,1.754747,-1.494437,1.511396,1.203607,-0.084652,
1.37504,-1.073858,0.6287689999999999,0.467628,0.8790459999999999,-0.0927289999999999,-2.893606,1.92222,-1.115757,1.691369,0.986676,-0.4534289999999999,
1.484318,-1.0980370000000002,0.7492489999999999,0.45364,0.890315,-0.0393279999999999,-3.343583,-0.670744,-0.439393,0.79842,0.570637,-0.941431,
1.581581,-1.103802,0.911256,0.4501739999999999,0.892926,0.004855,-3.642630000000001,-3.198223,-0.285488,0.526541,0.125934,-0.169879,
1.654712,-1.108717,1.050088,0.444238,0.895127,0.037366,-2.601657,-1.289998,-0.201613,0.207526,-0.1969,0.195574,
1.7405119999999998,-1.105839,1.125118,0.441939,0.893841,0.075732,-1.225835,2.0730310000000003,-0.0510339999999999,-0.650068,-0.684353,-0.380893,
1.833265,-1.102418,1.164634,0.435975,0.892301,0.117132,-0.8246379999999999,2.581805,-0.025383,-0.71454,-0.977842,-0.970114,
1.875101,-1.101164,1.194983,0.431762,0.891735,0.135599,-0.550121,0.060228,-0.245629,-0.417221,-0.967037,-0.480859,
1.885443,-1.1068790000000002,1.215229,0.425485,0.8943059999999999,0.138478,-0.2460929999999999,-0.8200959999999999,-0.4058199999999999,-0.229165,-0.965748,-0.6241800000000001,
1.854096,-1.111006,1.212009,0.426068,0.8961459999999999,0.124041,0.398435,-1.645015,-0.066976,-0.366498,-0.970303,-0.367205,
1.784779,-1.116386,1.177534,0.428918,0.8985200000000001,0.093208,1.046644,-2.017857,-0.097221,-0.336877,-1.067221,-0.173698,
1.683461,-1.121068,1.100757,0.431961,0.900565,0.048874,2.125977,-1.381297,0.15092,-0.300461,-1.035972,-0.119614,
1.540828,-1.117196,0.984076,0.438004,0.898875,-0.01313,2.644438,-2.353413,0.380114,-0.156494,-0.6226,-0.219154,
1.384686,-1.102515,0.8810600000000001,0.443556,0.892345,-0.083517,2.198625,-3.575478,0.548413,0.172075,-0.125469,0.126058,
1.231382,-1.073525,0.783651,0.449813,0.8788870000000001,-0.158819,2.876567,-2.9418740000000003,1.084311,0.306978,0.153583,0.281317,
1.119648,-1.016307,0.699163,0.4738279999999999,0.8501700000000001,-0.229557,2.909231,-0.943858,2.230318,0.746203,3.26241,0.45441,
1.126912,-0.956825,0.649465,0.520285,0.817366,-0.247414,2.911781,3.264387,1.594692,-0.0485899999999999,2.19864,-0.249336,
1.055209,-0.912831,0.545118,0.532013,0.791238,-0.301501,3.752387,-0.405531,0.079846,-0.0783389999999999,1.54888,-0.025541,
0.947335,-0.880713,0.465147,0.516832,0.771193,-0.371678,2.5413650000000003,-2.835223,0.279599,0.532576,0.915376,0.260472,
0.89723,-0.8333719999999999,0.435289,0.5255350000000001,0.7402029999999999,-0.419417,1.884741,-0.919545,1.834298,1.111397,0.799317,-0.052965,
0.870218,-0.785453,0.451446,0.5405310000000001,0.707146,-0.455818,0.650479,-2.44424,2.175871,0.855358,0.484795,0.110969,
0.8320709999999999,-0.759372,0.477614,0.536211,0.688466,-0.488356,-0.170629,-3.073502,1.211678,-0.038255,0.045451,0.325484,
0.788656,-0.758891,0.499532,0.514744,0.688117,-0.511402,-0.7531180000000001,-2.605262,0.240269,-0.8312120000000001,-0.4715189999999999,0.518756,
0.761903,-0.774355,0.5188560000000001,0.493475,0.6992550000000001,-0.5172260000000001,-1.211415,-1.516381,-0.203367,-1.063299,-1.051978,0.952102,
0.769946,-0.80547,0.5372979999999999,0.4822359999999999,0.721156,-0.497374,-1.83186,0.506219,-0.906774,-0.978192,-1.310115,1.382811,
0.820947,-0.851361,0.556375,0.48222,0.752178,-0.4490989999999999,-2.130464,2.656931,-1.160511,-1.038724,-1.249233,1.328753,
0.913947,-0.8909459999999999,0.586276,0.49786,0.777667,-0.383885,-1.825899,3.900552,-0.736961,-1.024853,-1.11481,0.8699379999999999,
