,0,1,2,3,4
Test,K-S p_value,PSI,Kullback-Leibler divergence,Jensen-Shannon distance,Wasserstein distance (normed)
t=4000,6.573655666784118e-240,0.9820545360494783,0.54906246645204,0.3301603451317459,0.6559792405545167
t=4100,1.576418603700256e-233,1.0059487444658362,0.5593375275997083,0.33414816294977256,0.6694278099130042
t=4200,2.513837667365097e-229,1.027726333451057,0.5678534414847504,0.3377358857002732,0.6898338381021638
t=4300,4.837944078277909e-221,1.0795666102839847,0.5947863623049925,0.3462654449454467,0.6990780188722202
t=4400,1.1722380810782751e-228,1.1393936101324784,0.629496817557998,0.35474583338103804,0.7187139885726141
t=4500,5.312938782894252e-254,1.1870429048822713,0.6528761238933465,0.3621330054764129,0.7496105278257799
t=4600,4.4701272650190445e-271,1.225691280459376,0.6712411338193829,0.367871327879088,0.7633260288454512
t=4700,5.098007523807703e-293,1.2448931247165296,0.6775497048490884,0.3707592720939959,0.7790059698520763
t=4800,6.98116536e-316,1.257935576718551,0.6791891875915157,0.37281682176341896,0.79996202866364
t=4900,0.0,1.3406772377526859,0.7345056143621751,0.381727725674717,0.8282936749189098
t=5000,0.0,1.3197503340263894,0.7113241309509813,0.38099894548113333,0.8444144920880235
t=5100,0.0,1.3066935886227995,0.7078610886166996,0.37882164754570513,0.8473842549782884
t=5200,0.0,1.2950084540531464,0.7071342710607835,0.3757944824407585,0.8629284022421354
t=5300,0.0,1.2635095874409428,0.6986046320767458,0.3692785360328997,0.8811838346852464
t=5400,0.0,1.2424617222782206,0.6963843946761831,0.3648562853600135,0.8873920851916045
t=5500,0.0,1.2155019713052435,0.6883485521122602,0.36008103084295445,0.8789966781223165
t=5600,0.0,1.191522424884221,0.680018345069363,0.35617112700425946,0.8857504860599358
t=5700,0.0,1.1680532104396182,0.672168193624215,0.35245476956960897,0.8796716171921235
t=5800,0.0,1.1471047275889135,0.6658210501821424,0.3491507413975721,0.8791078550355028
t=5900,0.0,1.1391804060048611,0.6678203212708602,0.347375140609671,0.8815690135856212
t=6000,0.0,1.1350075420534838,0.669612729335624,0.34688550794808165,0.8784374784083425
t=6100,0.0,1.1261999640251197,0.668227376452345,0.34576071976023215,0.8751714711268754
t=6200,0.0,1.1261679560838846,0.6742737220852661,0.34530821514270643,0.8687498869073372
t=6300,0.0,1.1524855581121485,0.6966594332183679,0.3482705126353602,0.8703894649409641
t=6400,0.0,1.2014775725172813,0.7343190921175866,0.3537940746928395,0.8790801380229866
t=6500,0.0,1.230470823959966,0.7541165302620731,0.3576682080333191,0.8808166396079196
t=6600,0.0,1.2613756006291337,0.7739580592666134,0.3619450125556751,0.8823498118117239
t=6700,0.0,1.2947422827573716,0.7934808312379822,0.3667137375022937,0.8895691952167826
t=6800,0.0,1.3490314005806534,0.8272089013584023,0.37367068261309366,0.894337831133783
t=6900,0.0,1.4171864079425078,0.867760239103082,0.3821457713751701,0.9012313657207327
t=7000,0.0,1.4978666640678924,0.9206560018782113,0.39103142990596745,0.9045680086621383
t=7100,0.0,1.5769726878999752,0.9709017518402207,0.4001891469605082,0.9152736013619399
t=7200,0.0,1.6474129996804598,1.0211534806524418,0.4069998726493289,0.9167677221608073
t=7300,0.0,1.595415054919658,0.9946715500024866,0.3994126602780542,0.8977809488926158
t=7400,0.0,1.3071259758434866,0.769571711956998,0.3737486100442968,0.8579582050982533
t=7500,0.0,1.126579307817091,0.6446342900040684,0.35144879993379796,0.8098428025597465
t=7600,0.0,1.0113220683004966,0.5722703507876681,0.33432030555606373,0.7616653021420725
t=7700,0.0,0.9471996524050464,0.5363022137365416,0.32336235373476374,0.7146433530749018
t=7800,0.0,0.9011516262881584,0.5130072057877201,0.3149300556781108,0.668674424321459
t=7900,0.0,0.8712308641245305,0.49886044760940773,0.3092271717068923,0.6238227810300705
t=8000,0.0,0.838801464187312,0.48367425396647373,0.30289355424714154,0.5766272015520278
t=8100,4.567e-320,0.8396000299078819,0.48594850714433657,0.30294170860586755,0.5326713755384115
t=8200,1.2518766821620059e-278,0.8545373506782795,0.4960526417533533,0.30564674307827117,0.4885112343114395
t=8300,1.0776568198945156e-243,0.8877725603807743,0.5158616249964504,0.31170743958034136,0.4459845521627818
t=8400,4.4725723879851375e-209,0.9123898500008919,0.5300574243115601,0.3160933504538915,0.40968196882544794
t=8500,1.9497125336297674e-179,0.9632823521156022,0.5593603099651219,0.3249434940444001,0.37659690806797247
t=8600,2.859666729922581e-149,1.014139601082333,0.5874890050750486,0.3336775998340706,0.343842675723617
t=8700,9.253124007872278e-128,1.1045410045341453,0.6413400434401706,0.3482721026904037,0.31653710625032266
t=8800,1.2314020453610526e-107,1.1898468333935701,0.6923894666246597,0.3613336356689978,0.30223961463216503
t=8900,8.958036733942078e-91,1.30704713815048,0.768956843938986,0.37716618525682244,0.29339276571316353
t=9000,5.543381963482611e-81,1.6352840887184505,1.054141227105409,0.3962578086801596,0.29605696110857116
t=9100,5.543381963482611e-81,1.7278964044143965,1.124056475748109,0.4054029493825123,0.2958139954444305
t=9200,6.228381481700706e-66,1.8385698608606094,1.2121573504964873,0.41372334023049223,0.2887009264235106
t=9300,1.691294559028896e-63,1.8431077974627514,1.2131275147833942,0.4142257625813093,0.27570752259976006
t=9400,2.1202370082442082e-69,1.8703275394630927,1.2272132562156197,0.4172031990874796,0.26949335032389504
t=9500,8.495716635219542e-94,1.9026662217371761,1.2435889934253892,0.4208211968565372,0.26562993994187134
t=9600,5.643074188566492e-122,1.9218470247129824,1.249852233083223,0.42323370636154545,0.2599709654535555
t=9700,5.523643394623663e-154,1.948295346038939,1.2587238617133187,0.42657336061741097,0.25827432824956625
